setup (K: 30; C: 10.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.000
setup (K: 50; C: 30.000; fold: 5; ell: 1.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.627
setup (K: 100; C: 30.000; fold: 5; ell: 0.10; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.520
setup (K: 30; C: 25.000; fold: 5; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.000
setup (K: 30; C: 1.000; fold: 5; ell: 1.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.533
setup (K: 30; C: 25.000; fold: 10; ell: 1.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.643
setup (K: 30; C: 25.000; fold: 10; ell: 1.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.671
setup (K: 29; C: 25.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.679
setup (K: 29; C: 25.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.681
setup (K: 29; C: 25.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.711
setup (K: 29; C: 25.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.697
setup (K: 29; C: 29.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.691
setup (K: 29; C: 29.000; fold: 10; ell: 16.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.673
setup (K: 30; C: 25.000; fold: 20; ell: 4.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.622
setup (K: 30; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.694
setup (K: 50; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.740
setup (K: 50; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.734
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.754
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.716
setup (K: 100; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.731
setup (K: 120; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.721
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.000//lael=1
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.696//label=26
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.687
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.714
setup (K: 80; C: 25.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.760
setup (K: 70; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.730
setup (K: 70; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.672
