Reading training examples...trvec.txt: No such file or directory
product_model: No such file or directory
Reading training examples... (13946 examples) done
Training set properties: 224563 features, 28 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=36.7873, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=2, CEps=27.0524, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=3, CEps=11.5899, QPEps=0.0000)
Iter 5: .........*(NumConst=5, SV=4, CEps=75.7065, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=48.3828, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=5, CEps=55.1129, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=6, CEps=30.3630, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=5, CEps=50.9953, QPEps=12.7829)
Iter 10: *(NumConst=10, SV=7, CEps=30.7389, QPEps=10.7015)
Iter 11: *(NumConst=11, SV=6, CEps=20.4854, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=8, CEps=35.1488, QPEps=10.1302)
Iter 13: *(NumConst=13, SV=8, CEps=42.4383, QPEps=3.8175)
Iter 14: *(NumConst=14, SV=8, CEps=21.2759, QPEps=4.7678)
Iter 15: *(NumConst=15, SV=8, CEps=26.2558, QPEps=0.0000)
Iter 16: *(NumConst=16, SV=8, CEps=14.9533, QPEps=0.0000)
Iter 17: *(NumConst=17, SV=9, CEps=11.1838, QPEps=3.0306)
Iter 18: .........*(NumConst=18, SV=9, CEps=48.0393, QPEps=0.0000)
Iter 19: *(NumConst=19, SV=8, CEps=24.0599, QPEps=0.0000)
Iter 20: *(NumConst=20, SV=10, CEps=26.3132, QPEps=0.0000)
Iter 21: *(NumConst=21, SV=11, CEps=15.5758, QPEps=3.6273)
Iter 22: *(NumConst=22, SV=13, CEps=30.7843, QPEps=1.7351)
Iter 23: *(NumConst=23, SV=12, CEps=21.2029, QPEps=6.8629)
Iter 24: *(NumConst=24, SV=11, CEps=15.8315, QPEps=3.6550)
Iter 25: *(NumConst=25, SV=13, CEps=10.7659, QPEps=3.7686)
Iter 26: *(NumConst=26, SV=12, CEps=14.8015, QPEps=3.4512)
Iter 27: *(NumConst=27, SV=12, CEps=14.3769, QPEps=3.8391)
Iter 28: *(NumConst=28, SV=12, CEps=9.8216, QPEps=4.7624)
Iter 29: *(NumConst=29, SV=11, CEps=10.6629, QPEps=3.4305)
Iter 30: *(NumConst=30, SV=12, CEps=6.1512, QPEps=2.6382)
Iter 31: *(NumConst=31, SV=11, CEps=13.3098, QPEps=2.2241)
Iter 32: *(NumConst=32, SV=11, CEps=7.0272, QPEps=1.6393)
Iter 33: *(NumConst=33, SV=13, CEps=8.2768, QPEps=3.0584)
Iter 34: *(NumConst=34, SV=13, CEps=5.5498, QPEps=2.3963)
Iter 35: .........*(NumConst=35, SV=12, CEps=12.5097, QPEps=3.8922)
Iter 36: *(NumConst=36, SV=14, CEps=10.2017, QPEps=3.0433)
Iter 37: *(NumConst=37, SV=12, CEps=11.7920, QPEps=2.4507)
Iter 38: *(NumConst=38, SV=12, CEps=7.8545, QPEps=3.3073)
Iter 39: *(NumConst=39, SV=12, CEps=8.6249, QPEps=2.4462)
Iter 40: *(NumConst=40, SV=11, CEps=5.9353, QPEps=1.4413)
Iter 41: *(NumConst=41, SV=11, CEps=7.3707, QPEps=0.5866)
Iter 42: *(NumConst=42, SV=12, CEps=5.1725, QPEps=1.0904)
Iter 43: *(NumConst=43, SV=12, CEps=4.3435, QPEps=1.0238)
